ordering,repetition,query_id,position,time_ms,result_count
original,3,Q_3_location_gender_type_7,22,103.457833,26
original,3,Q_3_nationality_gender_type_4,23,54.391500,20
original,3,Q_4_location_nationality_gender_type_3,24,0.013584,0
original,3,Q_4_location_nationality_gender_type_45,25,0.088042,0
original,4,Q_1_eligibleregion_43,1,0.015875,6
original,4,Q_1_eligibleregion_52,2,0.014042,6
original,4,Q_1_includes_10,3,0.002500,0
original,4,Q_1_subscribes_42,4,0.001334,0
original,4,Q_1_nationality_0,5,0.024792,88
original,4,Q_1_nationality_4,6,0.009958,36
original,4,Q_1_nationality_22,7,0.036250,162
original,4,Q_1_likes_0,8,0.005500,0
original,4,Q_1_nationality_40,9,0.013166,57
original,4,Q_2_includes_eligibleRegion_18,10,0.004667,0
original,4,Q_2_includes_eligibleRegion_62,11,0.301667,0
original,4,Q_2_includes_eligibleRegion_68,12,0.003625,0
original,4,Q_2_likes_nationality_6,13,0.003750,0
original,4,Q_2_likes_nationality_17,14,0.078500,0
original,4,Q_2_subscribes_likes_4,15,0.004708,0
original,4,Q_2_tag_homepage_44,16,0.004667,0
original,4,Q_3_location_nationality_gender_6,17,0.003125,0
original,4,Q_3_location_nationality_gender_33,18,0.001916,0
original,4,Q_3_location_nationality_gender_34,19,0.117792,0
original,4,Q_3_location_nationality_gender_91,20,0.134834,0
original,4,Q_3_location_gender_type_4,21,46.364125,14
original,4,Q_3_location_gender_type_7,22,100.393917,26
original,4,Q_3_nationality_gender_type_4,23,53.586875,20
original,4,Q_4_location_nationality_gender_type_3,24,0.017791,0
original,4,Q_4_location_nationality_gender_type_45,25,0.006375,0
original,5,Q_1_eligibleregion_43,1,0.019208,6
original,5,Q_1_eligibleregion_52,2,0.012458,6
original,5,Q_1_includes_10,3,0.002791,0
original,5,Q_1_subscribes_42,4,0.001833,0
original,5,Q_1_nationality_0,5,0.021667,88
original,5,Q_1_nationality_4,6,0.007792,36
original,5,Q_1_nationality_22,7,0.035583,162
original,5,Q_1_likes_0,8,0.001792,0
original,5,Q_1_nationality_40,9,0.010625,57
original,5,Q_2_includes_eligibleRegion_18,10,0.003917,0
original,5,Q_2_includes_eligibleRegion_62,11,0.333375,0
original,5,Q_2_includes_eligibleRegion_68,12,0.003375,0
original,5,Q_2_likes_nationality_6,13,0.001791,0
original,5,Q_2_likes_nationality_17,14,0.073125,0
original,5,Q_2_subscribes_likes_4,15,0.005834,0
original,5,Q_2_tag_homepage_44,16,0.006959,0
original,5,Q_3_location_nationality_gender_6,17,0.001375,0
original,5,Q_3_location_nationality_gender_33,18,0.001959,0
original,5,Q_3_location_nationality_gender_34,19,0.117916,0
original,5,Q_3_location_nationality_gender_91,20,0.170833,0
original,5,Q_3_location_gender_type_4,21,45.317125,14
original,5,Q_3_location_gender_type_7,22,100.023709,26
original,5,Q_3_nationality_gender_type_4,23,55.137458,20
original,5,Q_4_location_nationality_gender_type_3,24,0.020041,0
original,5,Q_4_location_nationality_gender_type_45,25,0.196666,0
original,6,Q_1_eligibleregion_43,1,0.014583,6
original,6,Q_1_eligibleregion_52,2,0.009792,6
original,6,Q_1_includes_10,3,0.003084,0
original,6,Q_1_subscribes_42,4,0.000541,0
original,6,Q_1_nationality_0,5,0.021959,88
original,6,Q_1_nationality_4,6,0.009708,36
original,6,Q_1_nationality_22,7,0.033542,162
original,6,Q_1_likes_0,8,0.003208,0
original,6,Q_1_nationality_40,9,0.013333,57
original,6,Q_2_includes_eligibleRegion_18,10,0.003750,0
original,6,Q_2_includes_eligibleRegion_62,11,0.277125,0
original,6,Q_2_includes_eligibleRegion_68,12,0.002250,0
original,6,Q_2_likes_nationality_6,13,0.007792,0
original,6,Q_2_likes_nationality_17,14,0.071041,0
original,6,Q_2_subscribes_likes_4,15,0.002042,0
original,6,Q_2_tag_homepage_44,16,0.008000,0
original,6,Q_3_location_nationality_gender_6,17,0.001417,0
original,6,Q_3_location_nationality_gender_33,18,0.003625,0
original,6,Q_3_location_nationality_gender_34,19,0.147459,0
original,6,Q_3_location_nationality_gender_91,20,0.146125,0
original,6,Q_3_location_gender_type_4,21,46.857500,14
original,6,Q_3_location_gender_type_7,22,110.649834,26
original,6,Q_3_nationality_gender_type_4,23,63.820708,20
original,6,Q_4_location_nationality_gender_type_3,24,0.016625,0
original,6,Q_4_location_nationality_gender_type_45,25,0.005291,0
original,7,Q_1_eligibleregion_43,1,2.913417,6
original,7,Q_1_eligibleregion_52,2,0.012333,6
original,7,Q_1_includes_10,3,0.002625,0
original,7,Q_1_subscribes_42,4,0.001583,0
original,7,Q_1_nationality_0,5,0.203250,88
original,7,Q_1_nationality_4,6,0.006917,36
original,7,Q_1_nationality_22,7,0.603417,162
original,7,Q_1_likes_0,8,0.007959,0
original,7,Q_1_nationality_40,9,0.009875,57
original,7,Q_2_includes_eligibleRegion_18,10,0.005500,0
original,7,Q_2_includes_eligibleRegion_62,11,0.784291,0
original,7,Q_2_includes_eligibleRegion_68,12,0.002667,0
original,7,Q_2_likes_nationality_6,13,0.003458,0
original,7,Q_2_likes_nationality_17,14,0.217500,0
original,7,Q_2_subscribes_likes_4,15,0.005334,0
original,7,Q_2_tag_homepage_44,16,0.004500,0
original,7,Q_3_location_nationality_gender_6,17,0.004250,0
original,7,Q_3_location_nationality_gender_33,18,0.002917,0
original,7,Q_3_location_nationality_gender_34,19,0.144250,0
original,7,Q_3_location_nationality_gender_91,20,0.154667,0
original,7,Q_3_location_gender_type_4,21,52.256792,14
original,7,Q_3_location_gender_type_7,22,110.178542,26
original,7,Q_3_nationality_gender_type_4,23,53.024375,20
original,7,Q_4_location_nationality_gender_type_3,24,0.010750,0
original,7,Q_4_location_nationality_gender_type_45,25,0.009625,0
original,8,Q_1_eligibleregion_43,1,0.012000,6
original,8,Q_1_eligibleregion_52,2,0.011125,6
original,8,Q_1_includes_10,3,0.001083,0
original,8,Q_1_subscribes_42,4,0.000666,0
original,8,Q_1_nationality_0,5,0.022792,88
original,8,Q_1_nationality_4,6,0.010709,36
original,8,Q_1_nationality_22,7,0.032917,162
original,8,Q_1_likes_0,8,0.000791,0
original,8,Q_1_nationality_40,9,0.012000,57
original,8,Q_2_includes_eligibleRegion_18,10,0.001959,0
original,8,Q_2_includes_eligibleRegion_62,11,0.296417,0
original,8,Q_2_includes_eligibleRegion_68,12,0.002667,0
original,8,Q_2_likes_nationality_6,13,0.001708,0
original,8,Q_2_likes_nationality_17,14,0.066292,0
original,8,Q_2_subscribes_likes_4,15,0.001625,0
original,8,Q_2_tag_homepage_44,16,0.003125,0
original,8,Q_3_location_nationality_gender_6,17,0.001292,0
original,8,Q_3_location_nationality_gender_33,18,0.001666,0
original,8,Q_3_location_nationality_gender_34,19,0.119417,0
original,8,Q_3_location_nationality_gender_91,20,0.160875,0
original,8,Q_3_location_gender_type_4,21,43.531750,14
original,8,Q_3_location_gender_type_7,22,103.018834,26
original,8,Q_3_nationality_gender_type_4,23,129.332250,20
original,8,Q_4_location_nationality_gender_type_3,24,0.048708,0
original,8,Q_4_location_nationality_gender_type_45,25,0.014750,0
original,9,Q_1_eligibleregion_43,1,0.019792,6
original,9,Q_1_eligibleregion_52,2,0.009792,6
original,9,Q_1_includes_10,3,0.001625,0
original,9,Q_1_subscribes_42,4,0.002917,0
original,9,Q_1_nationality_0,5,0.020125,88
original,9,Q_1_nationality_4,6,0.006541,36
original,9,Q_1_nationality_22,7,0.036584,162
original,9,Q_1_likes_0,8,0.000791,0
original,9,Q_1_nationality_40,9,0.009250,57
original,9,Q_2_includes_eligibleRegion_18,10,0.006625,0
original,9,Q_2_includes_eligibleRegion_62,11,0.322167,0
original,9,Q_2_includes_eligibleRegion_68,12,0.002166,0
original,9,Q_2_likes_nationality_6,13,0.008000,0
original,9,Q_2_likes_nationality_17,14,0.074042,0
original,9,Q_2_subscribes_likes_4,15,0.008584,0
original,9,Q_2_tag_homepage_44,16,0.006541,0
original,9,Q_3_location_nationality_gender_6,17,0.001334,0
original,9,Q_3_location_nationality_gender_33,18,0.005375,0
original,9,Q_3_location_nationality_gender_34,19,0.121708,0
original,9,Q_3_location_nationality_gender_91,20,0.129625,0
original,9,Q_3_location_gender_type_4,21,44.884417,14
original,9,Q_3_location_gender_type_7,22,104.436750,26
original,9,Q_3_nationality_gender_type_4,23,57.975709,20
original,9,Q_4_location_nationality_gender_type_3,24,0.019625,0
original,9,Q_4_location_nationality_gender_type_45,25,0.009750,0
original,10,Q_1_eligibleregion_43,1,0.011208,6
original,10,Q_1_eligibleregion_52,2,0.012417,6
original,10,Q_1_includes_10,3,0.002209,0
original,10,Q_1_subscribes_42,4,0.004583,0
original,10,Q_1_nationality_0,5,0.020792,88
original,10,Q_1_nationality_4,6,0.012708,36
original,10,Q_1_nationality_22,7,0.029208,162
original,10,Q_1_likes_0,8,0.005167,0
original,10,Q_1_nationality_40,9,0.011292,57
original,10,Q_2_includes_eligibleRegion_18,10,0.007916,0
original,10,Q_2_includes_eligibleRegion_62,11,0.308750,0
original,10,Q_2_includes_eligibleRegion_68,12,0.002250,0
original,10,Q_2_likes_nationality_6,13,0.004291,0
original,10,Q_2_likes_nationality_17,14,0.088417,0
original,10,Q_2_subscribes_likes_4,15,0.004916,0
original,10,Q_2_tag_homepage_44,16,0.004708,0
original,10,Q_3_location_nationality_gender_6,17,0.007542,0
original,10,Q_3_location_nationality_gender_33,18,0.002458,0
original,10,Q_3_location_nationality_gender_34,19,0.130792,0
original,10,Q_3_location_nationality_gender_91,20,0.154417,0
original,10,Q_3_location_gender_type_4,21,57.639500,14
original,10,Q_3_location_gender_type_7,22,102.484458,26
original,10,Q_3_nationality_gender_type_4,23,52.359667,20
original,10,Q_4_location_nationality_gender_type_3,24,0.011042,0
original,10,Q_4_location_nationality_gender_type_45,25,0.005208,0
shuffled,1,Q_2_tag_homepage_44,1,0.005416,0
shuffled,1,Q_4_location_nationality_gender_type_3,2,0.001625,0
shuffled,1,Q_3_nationality_gender_type_4,3,58.935458,20
shuffled,1,Q_2_likes_nationality_17,4,0.077291,0
shuffled,1,Q_1_likes_0,5,0.004792,0
shuffled,1,Q_3_location_nationality_gender_91,6,0.113834,0
shuffled,1,Q_2_includes_eligibleRegion_68,7,0.010708,0
shuffled,1,Q_3_location_gender_type_4,8,45.367459,14
shuffled,1,Q_3_location_nationality_gender_34,9,0.497708,0
shuffled,1,Q_2_includes_eligibleRegion_62,10,0.379083,0
shuffled,1,Q_2_subscribes_likes_4,11,0.006500,0
shuffled,1,Q_1_eligibleregion_43,12,0.005166,6
shuffled,1,Q_1_nationality_40,13,0.013375,57
shuffled,1,Q_1_nationality_0,14,0.019875,88
shuffled,1,Q_3_location_nationality_gender_33,15,0.004042,0
shuffled,1,Q_3_location_gender_type_7,16,108.408000,26
shuffled,1,Q_1_eligibleregion_52,17,0.017833,6
shuffled,1,Q_1_includes_10,18,0.002708,0
shuffled,1,Q_1_nationality_22,19,0.032833,162
shuffled,1,Q_4_location_nationality_gender_type_45,20,0.016250,0
shuffled,1,Q_2_likes_nationality_6,21,0.003667,0
shuffled,1,Q_3_location_nationality_gender_6,22,0.001458,0
shuffled,1,Q_2_includes_eligibleRegion_18,23,0.002083,0
shuffled,1,Q_1_subscribes_42,24,0.002333,0
shuffled,1,Q_1_nationality_4,25,0.008083,36
shuffled,2,Q_2_tag_homepage_44,1,0.007041,0
shuffled,2,Q_4_location_nationality_gender_type_3,2,0.002333,0
shuffled,2,Q_3_nationality_gender_type_4,3,54.655209,20
shuffled,2,Q_2_likes_nationality_17,4,0.089125,0
shuffled,2,Q_1_likes_0,5,0.001375,0
shuffled,2,Q_3_location_nationality_gender_91,6,0.141125,0
shuffled,2,Q_2_includes_eligibleRegion_68,7,0.002917,0
shuffled,2,Q_3_location_gender_type_4,8,43.757250,14
shuffled,2,Q_3_location_nationality_gender_34,9,0.131167,0
shuffled,2,Q_2_includes_eligibleRegion_62,10,0.274958,0
shuffled,2,Q_2_subscribes_likes_4,11,0.008291,0
shuffled,2,Q_1_eligibleregion_43,12,0.002292,6
shuffled,2,Q_1_nationality_40,13,0.011292,57
shuffled,2,Q_1_nationality_0,14,0.017791,88
shuffled,2,Q_3_location_nationality_gender_33,15,0.005416,0
shuffled,2,Q_3_location_gender_type_7,16,109.310083,26
shuffled,2,Q_1_eligibleregion_52,17,0.008291,6
shuffled,2,Q_1_includes_10,18,0.001167,0
shuffled,2,Q_1_nationality_22,19,0.034584,162
shuffled,2,Q_4_location_nationality_gender_type_45,20,0.020542,0
shuffled,2,Q_2_likes_nationality_6,21,0.004167,0
shuffled,2,Q_3_location_nationality_gender_6,22,0.001583,0
shuffled,2,Q_2_includes_eligibleRegion_18,23,0.001500,0
shuffled,2,Q_1_subscribes_42,24,0.000500,0
shuffled,2,Q_1_nationality_4,25,0.010792,36
shuffled,3,Q_2_tag_homepage_44,1,0.002583,0
shuffled,3,Q_4_location_nationality_gender_type_3,2,0.002375,0
shuffled,3,Q_3_nationality_gender_type_4,3,62.542958,20
shuffled,3,Q_2_likes_nationality_17,4,0.070875,0
shuffled,3,Q_1_likes_0,5,0.001458,0
shuffled,3,Q_3_location_nationality_gender_91,6,0.126792,0
shuffled,3,Q_2_includes_eligibleRegion_68,7,0.006125,0
shuffled,3,Q_3_location_gender_type_4,8,49.554583,14
shuffled,3,Q_3_location_nationality_gender_34,9,0.136708,0
shuffled,3,Q_2_includes_eligibleRegion_62,10,0.286958,0
shuffled,3,Q_2_subscribes_likes_4,11,0.003666,0
shuffled,3,Q_1_eligibleregion_43,12,0.002708,6
shuffled,3,Q_1_nationality_40,13,0.013875,57
shuffled,3,Q_1_nationality_0,14,0.018583,88
shuffled,3,Q_3_location_nationality_gender_33,15,0.003041,0
shuffled,3,Q_3_location_gender_type_7,16,127.831083,26
shuffled,3,Q_1_eligibleregion_52,17,0.026500,6
shuffled,3,Q_1_includes_10,18,0.004000,0
shuffled,3,Q_1_nationality_22,19,0.043958,162
shuffled,3,Q_4_location_nationality_gender_type_45,20,0.054250,0
shuffled,3,Q_2_likes_nationality_6,21,0.011250,0
shuffled,3,Q_3_location_nationality_gender_6,22,0.006333,0
shuffled,3,Q_2_includes_eligibleRegion_18,23,0.006292,0
shuffled,3,Q_1_subscribes_42,24,0.001416,0
shuffled,3,Q_1_nationality_4,25,0.009625,36
shuffled,4,Q_2_tag_homepage_44,1,0.008041,0
shuffled,4,Q_4_location_nationality_gender_type_3,2,0.002250,0
shuffled,4,Q_3_nationality_gender_type_4,3,68.407000,20
shuffled,4,Q_2_likes_nationality_17,4,0.076208,0
shuffled,4,Q_1_likes_0,5,0.004042,0
shuffled,4,Q_3_location_nationality_gender_91,6,0.141958,0
shuffled,4,Q_2_includes_eligibleRegion_68,7,0.007417,0
shuffled,4,Q_3_location_gender_type_4,8,41.942792,14
shuffled,4,Q_3_location_nationality_gender_34,9,0.128666,0
shuffled,4,Q_2_includes_eligibleRegion_62,10,0.284792,0
shuffled,4,Q_2_subscribes_likes_4,11,0.008042,0
shuffled,4,Q_1_eligibleregion_43,12,0.002791,6
shuffled,4,Q_1_nationality_40,13,0.012125,57
shuffled,4,Q_1_nationality_0,14,0.015375,88
shuffled,4,Q_3_location_nationality_gender_33,15,0.002709,0
shuffled,4,Q_3_location_gender_type_7,16,111.548709,26
shuffled,4,Q_1_eligibleregion_52,17,0.012500,6
shuffled,4,Q_1_includes_10,18,0.001208,0
shuffled,4,Q_1_nationality_22,19,0.028792,162
shuffled,4,Q_4_location_nationality_gender_type_45,20,0.013459,0
shuffled,4,Q_2_likes_nationality_6,21,0.002958,0
shuffled,4,Q_3_location_nationality_gender_6,22,0.001583,0
shuffled,4,Q_2_includes_eligibleRegion_18,23,0.002458,0
shuffled,4,Q_1_subscribes_42,24,0.000417,0
shuffled,4,Q_1_nationality_4,25,0.019125,36
shuffled,5,Q_2_tag_homepage_44,1,0.005000,0
shuffled,5,Q_4_location_nationality_gender_type_3,2,0.002417,0
shuffled,5,Q_3_nationality_gender_type_4,3,130.945083,20
shuffled,5,Q_2_likes_nationality_17,4,0.109208,0
shuffled,5,Q_1_likes_0,5,0.002417,0
shuffled,5,Q_3_location_nationality_gender_91,6,0.222209,0
shuffled,5,Q_2_includes_eligibleRegion_68,7,0.004042,0
shuffled,5,Q_3_location_gender_type_4,8,39.859667,14
shuffled,5,Q_3_location_nationality_gender_34,9,0.140875,0
shuffled,5,Q_2_includes_eligibleRegion_62,10,0.442416,0
shuffled,5,Q_2_subscribes_likes_4,11,0.010542,0
shuffled,5,Q_1_eligibleregion_43,12,0.002166,6
shuffled,5,Q_1_nationality_40,13,0.012834,57
shuffled,5,Q_1_nationality_0,14,0.019250,88
shuffled,5,Q_3_location_nationality_gender_33,15,0.005750,0
shuffled,5,Q_3_location_gender_type_7,16,93.670042,26
shuffled,5,Q_1_eligibleregion_52,17,0.015416,6
shuffled,5,Q_1_includes_10,18,0.001125,0
shuffled,5,Q_1_nationality_22,19,0.026500,162
shuffled,5,Q_4_location_nationality_gender_type_45,20,0.018209,0
shuffled,5,Q_2_likes_nationality_6,21,0.004208,0
shuffled,5,Q_3_location_nationality_gender_6,22,0.001375,0
shuffled,5,Q_2_includes_eligibleRegion_18,23,0.004666,0
shuffled,5,Q_1_subscribes_42,24,0.000500,0
shuffled,5,Q_1_nationality_4,25,0.009500,36
shuffled,6,Q_2_tag_homepage_44,1,0.009917,0
shuffled,6,Q_4_location_nationality_gender_type_3,2,0.002125,0
shuffled,6,Q_3_nationality_gender_type_4,3,54.376084,20
shuffled,6,Q_2_likes_nationality_17,4,0.107042,0
shuffled,6,Q_1_likes_0,5,0.001834,0
shuffled,6,Q_3_location_nationality_gender_91,6,0.153375,0
shuffled,6,Q_2_includes_eligibleRegion_68,7,0.005375,0
shuffled,6,Q_3_location_gender_type_4,8,37.597041,14
shuffled,6,Q_3_location_nationality_gender_34,9,0.125209,0
shuffled,6,Q_2_includes_eligibleRegion_62,10,0.234584,0
shuffled,6,Q_2_subscribes_likes_4,11,0.003750,0
shuffled,6,Q_1_eligibleregion_43,12,0.002209,6
shuffled,6,Q_1_nationality_40,13,0.013833,57
shuffled,6,Q_1_nationality_0,14,0.019708,88
shuffled,6,Q_3_location_nationality_gender_33,15,0.003250,0
shuffled,6,Q_3_location_gender_type_7,16,96.993958,26
shuffled,6,Q_1_eligibleregion_52,17,0.017709,6
shuffled,6,Q_1_includes_10,18,0.002250,0
shuffled,6,Q_1_nationality_22,19,0.032458,162
shuffled,6,Q_4_location_nationality_gender_type_45,20,0.016084,0
shuffled,6,Q_2_likes_nationality_6,21,0.007833,0
shuffled,6,Q_3_location_nationality_gender_6,22,0.002833,0
shuffled,6,Q_2_includes_eligibleRegion_18,23,0.003250,0
shuffled,6,Q_1_subscribes_42,24,0.001167,0
shuffled,6,Q_1_nationality_4,25,0.012541,36
shuffled,7,Q_2_tag_homepage_44,1,0.010208,0
shuffled,7,Q_4_location_nationality_gender_type_3,2,0.002209,0
shuffled,7,Q_3_nationality_gender_type_4,3,52.373750,20
shuffled,7,Q_2_likes_nationality_17,4,0.074167,0
shuffled,7,Q_1_likes_0,5,0.005625,0
shuffled,7,Q_3_location_nationality_gender_91,6,0.130792,0
shuffled,7,Q_2_includes_eligibleRegion_68,7,0.008083,0
shuffled,7,Q_3_location_gender_type_4,8,40.554000,14
shuffled,7,Q_3_location_nationality_gender_34,9,0.125334,0
shuffled,7,Q_2_includes_eligibleRegion_62,10,0.270542,0
shuffled,7,Q_2_subscribes_likes_4,11,0.004834,0
shuffled,7,Q_1_eligibleregion_43,12,0.002292,6
shuffled,7,Q_1_nationality_40,13,0.014834,57
shuffled,7,Q_1_nationality_0,14,0.022250,88
shuffled,7,Q_3_location_nationality_gender_33,15,0.005625,0
shuffled,7,Q_3_location_gender_type_7,16,117.023042,26
shuffled,7,Q_1_eligibleregion_52,17,0.014958,6
shuffled,7,Q_1_includes_10,18,0.002333,0
shuffled,7,Q_1_nationality_22,19,0.073875,162
shuffled,7,Q_4_location_nationality_gender_type_45,20,0.010916,0
shuffled,7,Q_2_likes_nationality_6,21,0.003542,0
shuffled,7,Q_3_location_nationality_gender_6,22,0.001458,0
shuffled,7,Q_2_includes_eligibleRegion_18,23,0.002458,0
shuffled,7,Q_1_subscribes_42,24,0.000417,0
shuffled,7,Q_1_nationality_4,25,0.087459,36
shuffled,8,Q_2_tag_homepage_44,1,0.006167,0
shuffled,8,Q_4_location_nationality_gender_type_3,2,0.002541,0
shuffled,8,Q_3_nationality_gender_type_4,3,61.792542,20
shuffled,8,Q_2_likes_nationality_17,4,0.070042,0
shuffled,8,Q_1_likes_0,5,0.002416,0
shuffled,8,Q_3_location_nationality_gender_91,6,0.132000,0
shuffled,8,Q_2_includes_eligibleRegion_68,7,0.002666,0
shuffled,8,Q_3_location_gender_type_4,8,56.393625,14
shuffled,8,Q_3_location_nationality_gender_34,9,0.153083,0
shuffled,8,Q_2_includes_eligibleRegion_62,10,0.352541,0
shuffled,8,Q_2_subscribes_likes_4,11,0.012625,0
shuffled,8,Q_1_eligibleregion_43,12,0.002292,6
shuffled,8,Q_1_nationality_40,13,0.014458,57
shuffled,8,Q_1_nationality_0,14,0.018667,88
shuffled,8,Q_3_location_nationality_gender_33,15,0.002916,0
shuffled,8,Q_3_location_gender_type_7,16,123.196500,26
shuffled,8,Q_1_eligibleregion_52,17,0.101583,6
shuffled,8,Q_1_includes_10,18,0.001542,0
shuffled,8,Q_1_nationality_22,19,0.043500,162
shuffled,8,Q_4_location_nationality_gender_type_45,20,0.041083,0
shuffled,8,Q_2_likes_nationality_6,21,0.005750,0
shuffled,8,Q_3_location_nationality_gender_6,22,0.001500,0
shuffled,8,Q_2_includes_eligibleRegion_18,23,0.002958,0
shuffled,8,Q_1_subscribes_42,24,0.000500,0
shuffled,8,Q_1_nationality_4,25,0.009625,36
shuffled,9,Q_2_tag_homepage_44,1,0.017542,0
shuffled,9,Q_4_location_nationality_gender_type_3,2,0.002500,0
shuffled,9,Q_3_nationality_gender_type_4,3,71.313625,20
shuffled,9,Q_2_likes_nationality_17,4,0.134917,0
shuffled,9,Q_1_likes_0,5,0.008958,0
shuffled,9,Q_3_location_nationality_gender_91,6,0.150667,0
shuffled,9,Q_2_includes_eligibleRegion_68,7,0.007042,0
shuffled,9,Q_3_location_gender_type_4,8,41.249084,14
shuffled,9,Q_3_location_nationality_gender_34,9,0.129958,0
shuffled,9,Q_2_includes_eligibleRegion_62,10,0.238958,0
shuffled,9,Q_2_subscribes_likes_4,11,0.003083,0
shuffled,9,Q_1_eligibleregion_43,12,0.002041,6
shuffled,9,Q_1_nationality_40,13,0.010541,57
shuffled,9,Q_1_nationality_0,14,0.018125,88
shuffled,9,Q_3_location_nationality_gender_33,15,0.004000,0
shuffled,9,Q_3_location_gender_type_7,16,108.953292,26
shuffled,9,Q_1_eligibleregion_52,17,0.007500,6
shuffled,9,Q_1_includes_10,18,0.001042,0
shuffled,9,Q_1_nationality_22,19,0.032959,162
shuffled,9,Q_4_location_nationality_gender_type_45,20,0.020834,0
shuffled,9,Q_2_likes_nationality_6,21,0.004166,0
shuffled,9,Q_3_location_nationality_gender_6,22,0.001375,0
shuffled,9,Q_2_includes_eligibleRegion_18,23,0.001375,0
shuffled,9,Q_1_subscribes_42,24,0.000500,0
shuffled,9,Q_1_nationality_4,25,0.012583,36
shuffled,10,Q_2_tag_homepage_44,1,0.003875,0
shuffled,10,Q_4_location_nationality_gender_type_3,2,0.002334,0
shuffled,10,Q_3_nationality_gender_type_4,3,66.768625,20
shuffled,10,Q_2_likes_nationality_17,4,0.080375,0
shuffled,10,Q_1_likes_0,5,0.001708,0
shuffled,10,Q_3_location_nationality_gender_91,6,0.174584,0
shuffled,10,Q_2_includes_eligibleRegion_68,7,0.002750,0
shuffled,10,Q_3_location_gender_type_4,8,47.970083,14
shuffled,10,Q_3_location_nationality_gender_34,9,0.681209,0
